query,language,normalize_ms,lang_detect_ms,cache_lookup_ms,category_detect_ms,qa_vector_ms,qa_bm25_ms,pdf_vector_ms,pdf_bm25_ms,rrf_fusion_ms,mmr_ms,reranker_ms,gate_ms,llm_ms,cache_store_ms,total_ms,cache_hit
Pakistan میں Easypaisa savings account پر منافع ملتا ہے؟,urdu,20.5,0.05,0.16,0.21,15.63,0.0,15.63,0.0,0.0,0.0,0.0,0.01,0.0,0.0,52.28,1
IBAN number کیا ہوتی ہے اور یہ کہاں سے ملتی ہے؟,urdu,18.59,0.05,0.16,0.25,15.46,0.0,15.46,0.0,0.0,0.0,0.0,0.01,0.0,0.0,50.080000000000005,1
SBP کی policy rate کیا ہے اور یہ عام آدمی کو کیسے متاثر کرتی,urdu,18.58,0.06,0.15,0.19,16.98,0.0,16.98,0.0,0.0,0.0,0.0,0.01,0.0,0.0,53.03,1
Pakistan mein kisi ko hadiya ya gift mein paise dene par Zak,roman_urdu,19.55,0.06,0.15,0.32,16.82,0.0,16.82,0.0,0.0,0.0,0.0,0.01,0.0,0.0,53.839999999999996,1
HBL aur UBL mein se kaun sا bank zyada reliable hai Pakistan,roman_urdu,20.86,0.05,0.15,0.27,16.27,0.0,16.27,0.0,0.0,0.0,0.0,0.01,0.0,0.0,53.96,1
پاکستان میں ایف بی آر کو ادائیگی میں تاخیر پر کتنا جرمانہ لگ,urdu,19.67,0.08,0.17,0.32,15.94,0.0,15.94,0.0,0.0,0.0,0.0,0.01,475.73,0.22,528.1800000000001,0
Pakistan میں زمین کی خرید و فروخت میں دھوکے سے کیسے بچیں؟,urdu,21.08,0.06,0.15,0.2,16.93,0.0,16.93,0.0,0.0,0.0,0.0,0.01,723.29,0.2,778.98,0
پاکستان میں شیئر بازار میں نقصان سے کیسے بچیں؟,urdu,21.47,0.06,0.16,0.19,15.44,0.0,15.44,0.0,0.0,0.0,0.0,0.01,458.46,0.19,511.53999999999996,0
Pakistan میں SBP کی Financial Inclusion Strategy 2023–2027 ک,urdu,20.31,0.06,0.21,0.19,15.88,0.0,15.88,0.0,0.0,0.0,0.0,0.01,470.8,0.22,523.6999999999999,0
Pakistan میں NBP کا National Savings Digital Portal کیا ہے؟,urdu,21.14,0.05,0.2,0.19,16.57,0.0,16.57,0.0,0.0,0.0,0.0,0.01,475.26,0.21,530.32,0
پاکستان میں واٹر بل کیسے آن لائن ادا کریں؟,urdu,20.44,0.05,0.21,0.28,15.38,0.0,15.38,0.0,0.0,0.0,0.0,0.01,458.38,0.21,510.47,0
Pakistan میں digital wallet کا پیسہ کیا بینک account سے محفو,urdu,20.01,0.06,0.19,0.2,17.03,0.0,17.03,0.0,0.0,0.0,0.0,0.01,2482.11,0.2,2536.96,0
پاکستان میں گھر کو کرایہ پر دینے کے لیے اسلامی اجارہ کا اصول,urdu,20.7,0.08,0.2,0.21,17.61,0.0,17.61,0.0,0.0,0.0,0.0,0.01,5547.54,0.28,5604.37,0
Pakistan mein credit score ka concept kitna important hai au,roman_urdu,20.28,0.07,0.19,0.27,17.32,0.0,17.32,0.0,0.0,0.0,0.0,0.01,3403.92,0.24,3459.71,0
اگر میرا salary account HBL میں ہے تو مجھے personal finance ,urdu,21.31,0.08,0.2,0.22,18.05,0.0,18.05,0.0,0.0,0.0,0.0,0.01,3513.44,0.25,3571.73,0
پاکستان میں ڈیجیٹل بینکنگ لائسنس کیا ہے اور کون سے نئے ادارے,urdu,22.19,0.08,0.26,0.23,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.01,5600.11,0.26,5659.27,0
گھر بیٹھے کمانے کے اسلامی طریقے کون سے ہیں؟,urdu,19.76,0.05,0.19,0.17,16.27,0.0,16.27,0.0,0.0,0.0,0.0,0.01,5580.63,0.3,5633.7699999999995,0
Pakistan میں کیا JazzCash سے car insurance premium pay کی جا,urdu,27.58,0.11,0.23,0.2,24.64,0.0,24.64,0.0,0.0,0.0,0.0,0.01,5710.4,0.28,5788.23,0
Mudarabah کیا ہے اور یہ بینکنگ میں کیسے استعمال ہوتی ہے؟,urdu,21.08,0.06,0.23,0.18,15.9,0.0,15.9,0.0,0.0,0.0,0.0,0.01,3578.66,0.23,3632.38,0
Pakistan میں Zakat ادا کرنے کے بعد کیا receipt ملتی ہے؟,urdu,20.51,0.05,0.25,0.2,18.07,0.0,18.07,0.0,0.0,0.0,0.0,0.01,5451.12,0.32,5508.71,0
Pakistan mein kisi ne mujhe loan diya aur wapas nahi deta — ,roman_urdu,23.02,0.08,0.22,0.24,19.09,0.0,19.09,0.0,0.0,0.0,0.0,0.01,3343.17,0.23,3405.2799999999997,0
Zakat mein sona aur bank balance dono par hisab kaise lagaye,roman_urdu,20.28,0.05,0.22,0.19,16.11,0.0,16.11,0.0,0.0,0.0,0.0,0.01,2580.49,0.26,2633.84,0
UBL account mein monthly maintenance charges kaise avoid kar,roman_urdu,19.79,0.05,0.23,0.18,16.61,0.0,16.61,0.0,0.0,0.0,0.0,0.01,2281.37,0.25,2335.2,0
پاکستان میں سونے کی سرمایہ کاری کے کیا طریقے ہیں؟,urdu,21.64,0.06,0.26,0.2,16.64,0.0,16.64,0.0,0.0,0.0,0.0,0.01,4823.83,0.32,4879.719999999999,0
پاکستان میں بینک اکاونٹ نمبر اور آئی بی اے این میں کیا فرق ہ,urdu,20.63,0.06,0.23,0.18,17.16,0.0,17.16,0.0,0.0,0.0,0.0,0.01,4596.39,0.25,4652.1900000000005,0
پاکستان میں یوٹیلٹی اسٹور سے خریداری میں کیا مالی فائدہ ہے؟,urdu,20.27,0.07,0.26,0.19,16.66,0.0,16.66,0.0,0.0,0.0,0.0,0.01,5714.81,0.28,5769.33,0
پاکستان میں کاروباری حساب کتاب کے لیے ڈبل انٹری بک کیپنگ کیو,urdu,20.64,0.09,0.34,0.29,16.75,0.0,16.75,0.0,0.0,0.0,0.0,0.02,5635.48,0.3,5690.78,0
Agar mera bank account NBP mein inactive ho jaye to usay dob,roman_urdu,19.52,0.06,0.25,0.19,16.88,0.0,16.88,0.0,0.0,0.0,0.0,0.01,3514.74,0.26,3568.9300000000003,0
پاکستان میں ڈیفنس سیونگز سرٹیفکیٹ کیا ہے؟,urdu,20.56,0.05,0.31,0.16,14.56,0.0,14.56,0.0,0.0,0.0,0.0,0.01,4389.0,0.27,4439.599999999999,0
UBL credit card ka balance full pay na karne par kya charges,roman_urdu,22.36,0.07,0.25,0.22,20.09,0.0,20.09,0.0,0.0,0.0,0.0,0.01,2547.3,0.26,2610.7799999999997,0
Islamic finance mein Ijarah kya hota hai? Simple language me,roman_urdu,20.81,0.05,0.25,0.2,15.99,0.0,15.99,0.0,0.0,0.0,0.0,0.01,2537.83,0.27,2591.53,0
Pakistan Stock Exchange mein halal stocks identify karne ka ,roman_urdu,20.94,0.06,0.25,0.19,16.25,0.0,16.25,0.0,0.0,0.0,0.0,0.01,3369.5,0.3,3423.88,0
Pakistan mein zakat ki raqam kisi ko poori ya baat baat mein,roman_urdu,19.68,0.05,0.26,0.26,17.53,0.0,17.53,0.0,0.0,0.0,0.0,0.01,3358.29,0.36,3414.09,0
"Agar main har mahine 20,00 save karun to 1 saal mein kitni s",roman_urdu,20.75,0.06,0.27,0.24,18.07,0.0,18.07,0.0,0.0,0.0,0.0,0.01,2334.78,0.35,2392.74,0
Pakistan میں Roshan Digital Account سے NPC خریدنے پر منافع ک,urdu,23.03,0.08,0.28,0.25,20.74,0.0,20.74,0.0,0.0,0.0,0.0,0.03,4556.27,0.32,4621.87,0
Pakistan میں Benazir Income Support Programm (BISP) کے لیے r,urdu,19.96,0.09,0.26,0.21,16.98,0.0,16.98,0.0,0.0,0.0,0.0,0.01,3486.69,0.3,3541.6000000000004,0
Pakistan mein agar bank closed ho jaye to kya deposits safe ,roman_urdu,23.06,0.05,0.31,0.18,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.01,3402.96,0.32,3461.02,0
Pakistan mein online fraud aur phishing se apne accounts ko ,roman_urdu,19.96,0.06,0.32,0.2,17.41,0.0,17.41,0.0,0.0,0.0,0.0,0.01,2520.43,0.31,2576.25,0
Pakistan mein electricity bill installment plan kaise avail ,roman_urdu,20.88,0.08,0.26,0.22,17.56,0.0,17.56,0.0,0.0,0.0,0.0,0.01,2321.72,0.32,2378.74,0
Agar mera utility bill zyada aa raha hai to usay control kar,roman_urdu,20.02,0.06,0.3,0.27,19.09,0.0,19.09,0.0,0.0,0.0,0.0,0.01,2414.89,0.35,2474.19,0
کیا Pakistan میں government jobs کو private jobs سے زیادہ fi,urdu,20.68,0.07,0.27,0.21,16.84,0.0,16.84,0.0,0.0,0.0,0.0,0.01,3515.92,0.33,3571.29,0
پاکستان میں کیا ریٹائرمنٹ کے بعد بینک قرضہ مل سکتا ہے؟,urdu,20.64,0.06,0.27,0.18,17.91,0.0,17.91,0.0,0.0,0.0,0.0,0.01,4710.71,0.47,4768.27,0
ایچ بی ایل موبائل بینکنگ پر ٹرانزیکشن لمٹ کتنی ہے؟,urdu,19.46,0.05,0.28,0.19,16.54,0.0,16.54,0.0,0.0,0.0,0.0,0.01,4485.02,0.33,4538.53,0
Pakistan میں Zakat کا حساب cryptocurrency پر کیسے لگایا جائے,urdu,23.4,0.06,0.29,0.18,16.18,0.0,16.18,0.0,0.0,0.0,0.0,0.01,4478.08,0.34,4534.820000000001,0
"Meri salary 120,00 PKR hai, main har mahine kitna save karun",roman_urdu,20.46,0.07,0.34,0.19,19.04,0.0,19.04,0.0,0.0,0.0,0.0,0.01,2513.66,0.38,2573.3199999999997,0
Pakistan میں inflation کے دوران business کیسے survive کرے؟,urdu,22.03,0.07,0.31,0.24,16.58,0.0,16.58,0.0,0.0,0.0,0.0,0.01,3398.44,0.33,3454.7200000000003,0
پاکستان میں اپنی ملازمت کی ترقی کے ساتھ مالی اہداف کیسے بڑھا,urdu,21.21,0.07,0.36,0.24,18.24,0.0,18.24,0.0,0.0,0.0,0.0,0.02,5807.47,0.43,5866.410000000001,0
